id,value
"profession.Business and Financial Operations Occupations.Financial Specialists, All Other",1.2.46
profession.Computer and Mathematical Occupations,1.3
profession.Computer and Mathematical Occupations.Computer Systems Analysts,1.3.1
profession.Computer and Mathematical Occupations.Information Security Analysts,1.3.2
profession.Computer and Mathematical Occupations.Computer and Information Research Scientists,1.3.3
profession.Computer and Mathematical Occupations.Computer Network Support Specialists,1.3.4
profession.Computer and Mathematical Occupations.Computer User Support Specialists,1.3.5
profession.Computer and Mathematical Occupations.Computer Network Architects,1.3.6
profession.Computer and Mathematical Occupations.Database Administrators,1.3.7
profession.Computer and Mathematical Occupations.Database Architects,1.3.8
profession.Computer and Mathematical Occupations.Network and Computer Systems Administrators,1.3.9
profession.Computer and Mathematical Occupations.Computer Programmers,1.3.10
profession.Computer and Mathematical Occupations.Software Developers,1.3.11
profession.Computer and Mathematical Occupations.Software Quality Assurance Analysts and Testers,1.3.12
profession.Computer and Mathematical Occupations.Web Developers,1.3.13
profession.Computer and Mathematical Occupations.Web and Digital Interface Designers,1.3.14
"profession.Computer and Mathematical Occupations.Computer Occupations, All Other",1.3.15
profession.Computer and Mathematical Occupations.Actuaries,1.3.16
profession.Computer and Mathematical Occupations.Mathematicians,1.3.17
profession.Computer and Mathematical Occupations.Operations Research Analysts,1.3.18
profession.Computer and Mathematical Occupations.Statisticians,1.3.19
profession.Computer and Mathematical Occupations.Data Scientists,1.3.20
"profession.Computer and Mathematical Occupations.Mathematical Science Occupations, All Other",1.3.21
profession.Architecture and Engineering Occupations,1.4
"profession.Architecture and Engineering Occupations.Architects, Except Landscape and Naval",1.4.1
profession.Architecture and Engineering Occupations.Landscape Architects,1.4.2
profession.Architecture and Engineering Occupations.Cartographers and Photogrammetrists,1.4.3
profession.Architecture and Engineering Occupations.Surveyors,1.4.4
profession.Architecture and Engineering Occupations.Aerospace Engineers,1.4.5
profession.Architecture and Engineering Occupations.Agricultural Engineers,1.4.6
profession.Architecture and Engineering Occupations.Bioengineers and Biomedical Engineers,1.4.7
profession.Architecture and Engineering Occupations.Chemical Engineers,1.4.8
profession.Architecture and Engineering Occupations.Civil Engineers,1.4.9
profession.Architecture and Engineering Occupations.Computer Hardware Engineers,1.4.10
profession.Architecture and Engineering Occupations.Electrical Engineers,1.4.11
"profession.Architecture and Engineering Occupations.Electronics Engineers, Except Computer",1.4.12
profession.Architecture and Engineering Occupations.Environmental Engineers,1.4.13
"profession.Architecture and Engineering Occupations.Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1.4.14
profession.Architecture and Engineering Occupations.Industrial Engineers,1.4.15
profession.Architecture and Engineering Occupations.Marine Engineers and Naval Architects,1.4.16
profession.Architecture and Engineering Occupations.Materials Engineers,1.4.17
profession.Architecture and Engineering Occupations.Mechanical Engineers,1.4.18
"profession.Architecture and Engineering Occupations.Mining and Geological Engineers, Including Mining Safety Engineers",1.4.19
profession.Architecture and Engineering Occupations.Nuclear Engineers,1.4.20
